Id,Categoria,Letra,Palavra
384,Comida,R,Repolho
385,Comida,R,Rúcula
386,Comida,R,Risoto
387,Comida,R,Rabanete
388,Comida,R,Requeijão
389,Comida,S,Salada
390,Comida,S,Salgadinho
391,Comida,S,Sorvete
392,Comida,S,Suco
393,Comida,S,Sanduíche
394,Comida,S,Salame
395,Comida,S,Salsicha
396,Comida,S,Sopa
397,Comida,S,Salmão
398,Comida,T,Tomate
399,Comida,T,Torta
400,Comida,T,Tapioca
401,Comida,T,Tangerina
402,Comida,T,Trigo
403,Comida,T,Tilápia
404,Comida,T,Torresmo
405,Comida,T,Tempero
406,Comida,U,Uva
407,Comida,V,Vagem
408,Comida,V,Vitamina
409,Comida,V,Vinagre
410,Comida,W,Waffle
411,Comida,X,Xerém
412,Comida,Y,Yakisoba
413,Comida,Z,Zabaione
414,Filmes,A,Avatar
415,Filmes,A,Aladdin
416,Filmes,A,Alien
417,Filmes,A,Amadeus
418,Filmes,A,Aquaman
419,Filmes,A,Anaconda
420,Filmes,A,Annabelle
421,Filmes,A,As Branquelas
422,Filmes,A,Amélie Poulain
423,Filmes,A,Argo
424,Filmes,A,A Origem
425,Filmes,A,Ainda Estou Aqui
426,Filmes,A,A Substância
427,Filmes,A,Anora
428,Filmes,A,American Pie
429,Filmes,A,As Panteras
430,Filmes,A,As Aventuras de Pi
431,Filmes,A,Alien: Romulus
432,Filmes,A,Aquaman e o Reino Perdido
433,Filmes,A,A Era do Gelo
434,Filmes,A,A Lista de Schindler
435,Filmes,A,A Freira
436,Filmes,B,Batman
437,Filmes,B,Bastardos Inglórios
438,Filmes,B,Bumblebee
439,Filmes,B,Barbie
440,Filmes,B,Bela Adormecida
441,Filmes,B,Bacurau
442,Filmes,B,Bird Box
443,Filmes,B,Batman Begins
444,Filmes,B,Batman: O Cavaleiro das Trevas
445,Filmes,B,Bee Movie
446,Filmes,B,Bohemian Rhapsody
447,Filmes,B,Brilho Eterno de uma Mente sem Lembranças
448,Filmes,B,Borat
449,Filmes,C,Coringa
450,Filmes,C,Cinderela
451,Filmes,C,Casablanca
452,Filmes,C,Crepúsculo
453,Filmes,C,Coco
454,Filmes,C,Carros
455,Filmes,C,Cidade de Deus
456,Filmes,C,Central do Brasil
457,Filmes,C,Click
458,Filmes,C,Clube da Luta
459,Filmes,C,Como Eu Era Antes de Você
460,Filmes,C,Coraline
461,Filmes,C,Corra!
462,Filmes,C,Chinatown
463,Filmes,C,Chicago
464,Filmes,D,Duna
465,Filmes,D,Divertida Mente
466,Filmes,D,Deadpool
467,Filmes,D,Drácula
468,Filmes,D,Django Livre
469,Filmes,E,Ex-Machina
470,Filmes,E,Encanto
471,Filmes,F,Frozen
472,Filmes,F,Ford v Ferrari
473,Filmes,F,Forrest Gump
474,Filmes,G,Gladiador
475,Filmes,G,Gravidade
476,Filmes,G,Grease
477,Filmes,G,Godzilla
478,Filmes,H,Homem-Aranha
479,Filmes,H,Harry Potter
480,Filmes,H,Hulk
481,Filmes,H,Hércules
482,Filmes,I,Interestelar
483,Filmes,I,Invocação do Mal
484,Filmes,I,Intocáveis
485,Filmes,J,Jumanji
486,Filmes,J,Jurassic Park
487,Filmes,J,John Wick
488,Filmes,K,King Kong
489,Filmes,K,Karatê Kid
490,Filmes,L,La La Land
491,Filmes,L,Logan
492,Filmes,L,Lilo e Stitch
493,Filmes,M,Matrix
494,Filmes,M,Moana
495,Filmes,M,Madagascar
496,Filmes,M,Missão Impossível
497,Filmes,M,Mulan
498,Filmes,M,Meu Malvado Favorito
499,Filmes,M,Minions
500,Filmes,M,Moonlight
501,Filmes,M,Mamma Mia!
502,Filmes,M,Monstros S.A.
503,Filmes,M,Marley e Eu
504,Filmes,M,Megamente
505,Filmes,M,Meia-Noite em Paris
506,Filmes,M,Mad Max: Estrada da Fúria
507,Filmes,M,Malévola
508,Filmes,N,Nemo
509,Filmes,N,Náufrago
510,Filmes,O,Oppenheimer
511,Filmes,O,Operação Big Hero
512,Filmes,P,Pantera Negra
513,Filmes,P,Piratas do Caribe
514,Filmes,P,Procurando Dory
515,Filmes,P,Premonição
516,Filmes,P,Pulp Fiction
517,Filmes,P,Parasita
518,Filmes,P,Preciosa
519,Filmes,P,Procurando Nemo
520,Filmes,P,Perdido em Marte
521,Filmes,P,Poderoso Chefão
522,Filmes,P,Planeta dos Macacos
523,Filmes,Q,Quarteto Fantástico
524,Filmes,R,Rocky
525,Filmes,R,Rio
526,Filmes,R,Ratatouille
527,Filmes,R,Rei Leão
528,Filmes,R,Rogue One
529,Filmes,R,Resident Evil
530,Filmes,R,Rango
531,Filmes,R,Rocketman
532,Filmes,R,Réquiem para um Sonho
533,Filmes,S,Shrek
534,Filmes,S,Star Wars
535,Filmes,S,Sonic
536,Filmes,S,Simplesmente Amor
537,Filmes,S,Se Beber Não Case
538,Filmes,S,Silêncio dos Inocentes
539,Filmes,S,Soul
540,Filmes,S,Sing
541,Filmes,S,Sherlock Holmes
542,Filmes,S,Se7en
543,Filmes,T,Titanic
544,Filmes,T,Toy Story
545,Filmes,T,Thor
546,Filmes,T,Tubarão
547,Filmes,T,Top Gun
548,Filmes,T,Trolls
549,Filmes,T,Tudo em Todo Lugar ao Mesmo Tempo
550,Filmes,T,Tá Chovendo Hambúrguer
551,Filmes,T,Tenet
552,Filmes,T,Truque de Mestre
553,Filmes,U,Up - Altas Aventuras
554,Filmes,U,Uma Linda Mulher
555,Filmes,V,Vingadores
556,Filmes,V,Velozes e Furiosos
557,Filmes,V,Viva - A Vida é uma Festa
558,Filmes,W,Wall-E
559,Filmes,W,Wicked
560,Filmes,X,X-Men
561,Filmes,Z,Zootopia
562,Filmes,Z,Z: A Cidade Perdida
563,Séries,A,Arcane
564,Séries,A,American Horror Story
565,Séries,A,Anne with an E
566,Séries,A,As Five
567,Séries,A,Atypical
568,Séries,A,American Crime Story
569,Séries,A,Andor
570,Séries,A,Arrow
571,Séries,A,Alias
572,Séries,B,Breaking Bad
573,Séries,B,Bridgerton
574,Séries,B,Black Mirror
575,Séries,B,Better Call Saul
576,Séries,B,Boardwalk Empire
577,Séries,B,Big Little Lies
578,Séries,B,Barry
579,Séries,B,Bates Motel
580,Séries,C,Chernobyl
581,Séries,C,Cobra Kai
582,Séries,C,CSI
583,Séries,C,Community
584,Séries,C,Cheers
585,Séries,C,Cangaço Novo
586,Séries,D,Dark
587,Séries,D,Dexter
588,Séries,D,Downton Abbey
589,Séries,E,Euphoria
590,Séries,E,Elite
591,Séries,E,Empire
592,Séries,F,Friends
593,Séries,F,Fargo
594,Séries,F,Family Guy
595,Séries,G,Game of Thrones
596,Séries,G,Grey's Anatomy
597,Séries,G,Gilmore Girls
598,Séries,G,Gambito da Rainha
599,Séries,H,House
600,Séries,H,How I Met Your Mother
601,Séries,H,Heroes
602,Séries,I,InuYasha
603,Séries,J,Jujutsu Kaisen
604,Séries,K,Kingdom
605,Séries,L,Lost
606,Séries,L,Luther
607,Séries,L,La Casa de Papel
608,Séries,M,Merlí
609,Séries,M,Modern Family
610,Séries,M,Manifest
611,Séries,M,Mindhunter
612,Séries,M,Master of None
613,Séries,M,Mad Men
614,Séries,N,Narcos
615,Séries,N,NCIS
616,Séries,N,Normal People
617,Séries,O,Outlander
618,Séries,O,Orange Is the New Black
619,Séries,O,One Piece
620,Séries,P,Prison Break
621,Séries,P,Peaky Blinders
622,Séries,P,Pose
623,Séries,P,Pantanal
624,Séries,P,Poldark
625,Séries,Q,Quantico
626,Séries,R,Round 6
627,Séries,R,Riverdale
628,Séries,R,Ray Donovan
629,Séries,R,Rick and Morty
630,Séries,R,Reign
631,Séries,S,Stranger Things
632,Séries,S,Supernatural
633,Séries,S,Sherlock
634,Séries,S,Suits
635,Séries,S,Scandal
636,Séries,S,Sex Education
637,Séries,S,Succession
638,Séries,T,The Office
639,Séries,T,True Detective
640,Séries,T,Titans
641,Séries,T,The Crown
642,Séries,T,This Is Us
643,Séries,T,The Boys
644,Séries,T,Teen Wolf
645,Séries,U,Umbrella Academy
646,Séries,V,Vikings
647,Séries,V,Vis a Vis
648,Séries,W,Westworld
649,Séries,W,Wandinha
650,Séries,X,X-Files
651,Séries,Y,You
652,Séries,Z,Z Nation
653,Personagem Fictício,A,Aladdin
654,Personagem Fictício,A,Ariel
655,Personagem Fictício,A,Aquaman
656,Personagem Fictício,A,Alice
657,Personagem Fictício,A,Anakin
658,Personagem Fictício,A,Arthur
659,Personagem Fictício,A,Asterix
660,Personagem Fictício,A,Aang
661,Personagem Fictício,A,Astro Boy
662,Personagem Fictício,A,Anna
663,Personagem Fictício,B,Batman
664,Personagem Fictício,B,Bela
665,Personagem Fictício,B,Buzz Lightyear
666,Personagem Fictício,B,Bob Esponja
667,Personagem Fictício,B,Branca de Neve
668,Personagem Fictício,B,Barbie
669,Personagem Fictício,B,Bugs Bunny
670,Personagem Fictício,B,Baloo
671,Personagem Fictício,B,Bulma
672,Personagem Fictício,B,Batgirl
673,Personagem Fictício,C,Chapeuzinho Vermelho
674,Personagem Fictício,C,Capitão América
675,Personagem Fictício,C,Coringa
676,Personagem Fictício,C,Cinderela
677,Personagem Fictício,C,Chaves
678,Personagem Fictício,C,Charlie Brown
679,Personagem Fictício,C,Chewbacca
680,Personagem Fictício,C,Cruella
681,Personagem Fictício,C,Capitão Gancho
682,Personagem Fictício,D,Darth Vader
683,Personagem Fictício,D,Dumbo
684,Personagem Fictício,D,Donald
685,Personagem Fictício,D,Drácula
686,Personagem Fictício,D,Doraemon
687,Personagem Fictício,E,Elsa
688,Personagem Fictício,E,Eduardo Mãos de Tesoura
689,Personagem Fictício,E,Elmo
690,Personagem Fictício,F,Flash
691,Personagem Fictício,F,Fiona
692,Personagem Fictício,F,Frankenstein
693,Personagem Fictício,F,Fred Flintstone
694,Personagem Fictício,G,Gandalf
695,Personagem Fictício,G,Goku
696,Personagem Fictício,G,Gato de Botas
697,Personagem Fictício,G,Grinch
698,Personagem Fictício,G,Groot
699,Personagem Fictício,H,Homem-Aranha
700,Personagem Fictício,H,Harry Potter
701,Personagem Fictício,H,Hulk
702,Personagem Fictício,H,Homer Simpson
703,Personagem Fictício,H,Hermione
704,Personagem Fictício,I,Indiana Jones
705,Personagem Fictício,J,Jasmine
706,Personagem Fictício,J,Jack Sparrow
707,Personagem Fictício,J,Jerry
708,Personagem Fictício,K,Kratos
709,Personagem Fictício,L,Lex Luthor
710,Personagem Fictício,L,Luke Skywalker
711,Personagem Fictício,L,Lilo
712,Personagem Fictício,M,Mickey Mouse
713,Personagem Fictício,M,Mulan
714,Personagem Fictício,M,Minnie
715,Personagem Fictício,M,Mario
716,Personagem Fictício,M,Malévola
717,Personagem Fictício,M,Merlin
718,Personagem Fictício,M,Mogli
719,Personagem Fictício,M,Megamente
720,Personagem Fictício,M,Moana
721,Personagem Fictício,M,Mulher-Maravilha
722,Personagem Fictício,N,Nemo
723,Personagem Fictício,N,Naruto
724,Personagem Fictício,N,Neo
725,Personagem Fictício,O,Olaf
726,Personagem Fictício,O,Oliver Twist
727,Personagem Fictício,P,Pinóquio
728,Personagem Fictício,P,Pernalonga
729,Personagem Fictício,P,Peter Pan
730,Personagem Fictício,P,Popeye
731,Personagem Fictício,P,Pikachu
732,Personagem Fictício,P,Pantera Cor-de-Rosa
733,Personagem Fictício,P,Patolino
734,Personagem Fictício,P,Piu-Piu
735,Personagem Fictício,P,Pumba
736,Personagem Fictício,Q,Quico
737,Personagem Fictício,R,Rapunzel
738,Personagem Fictício,R,Robin Hood
739,Personagem Fictício,R,Rocket Raccoon
740,Personagem Fictício,R,Rex
741,Personagem Fictício,R,Rafiki
742,Personagem Fictício,R,Ralph
743,Personagem Fictício,S,Shrek
744,Personagem Fictício,S,Superman
745,Personagem Fictício,S,Simba
746,Personagem Fictício,S,Sherlock Holmes
747,Personagem Fictício,S,Scooby-Doo
748,Personagem Fictício,S,Spider-Man
749,Personagem Fictício,S,Stitch
750,Personagem Fictício,S,Sonic
751,Personagem Fictício,S,Shaggy
752,Personagem Fictício,T,Thor
753,Personagem Fictício,T,Tarzan
754,Personagem Fictício,T,Tom
755,Personagem Fictício,T,Thanos
756,Personagem Fictício,T,Tinker Bell
757,Personagem Fictício,T,Tigrão
758,Personagem Fictício,T,Timão
759,Personagem Fictício,U,Ursinho Pooh
760,Personagem Fictício,V,Voldemort
761,Personagem Fictício,W,Wolverine
762,Personagem Fictício,W,Woody
763,Personagem Fictício,X,Xena
764,Personagem Fictício,Z,Zorro
765,Personagem Fictício,Z,Zangado
766,Cor,A,Amarelo
767,Cor,A,Azul
768,Cor,A,Âmbar
769,Cor,A,Anil
770,Cor,A,Areia
771,Cor,B,Bege
772,Cor,B,Branco
773,Cor,B,Bordô
774,Cor,B,Bronze
775,Cor,C,Cinza
776,Cor,C,Ciano
777,Cor,C,Coral
778,Cor,C,Creme
779,Cor,C,Carmim
780,Cor,C,Cobre
781,Cor,D,Dourado
782,Cor,E,Esmeralda
783,Cor,F,Fúcsia
784,Cor,G,Grafite
785,Cor,I,Índigo
786,Cor,L,Lilás
787,Cor,L,Laranja
788,Cor,M,Magenta
789,Cor,M,Marrom
790,Cor,M,Musgo
791,Cor,M,Malva
792,Cor,N,Negro
793,Cor,N,Nude
794,Cor,O,Ocre
795,Cor,O,Off-white
796,Cor,P,Púrpura
797,Cor,P,Prata
798,Cor,P,Pink
799,Cor,P,Preto
800,Cor,P,Pêssego
801,Cor,R,Rosa
802,Cor,R,Roxo
803,Cor,R,Rubi
804,Cor,R,Rosé
805,Cor,S,Salmão
806,Cor,S,Sépia
807,Cor,T,Turquesa
808,Cor,T,Tijolo
809,Cor,T,Terracota
810,Cor,V,Verde
811,Cor,V,Vermelho
812,Cor,V,Violeta
813,Cor,V,Vinho
814,Objeto,A,Abajur
815,Objeto,A,Almofada
816,Objeto,A,Agenda
817,Objeto,A,Armário
818,Objeto,A,Alicate
819,Objeto,A,Aspirador
820,Objeto,A,Antena
821,Objeto,A,Arame
822,Objeto,A,Argola
823,Objeto,A,Aliança
824,Objeto,B,Bola
825,Objeto,B,Balde
826,Objeto,B,Banco
827,Objeto,B,Bússola
828,Objeto,B,Berço
829,Objeto,B,Baú
830,Objeto,B,Bengala
831,Objeto,B,Balança
832,Objeto,B,Batedeira
833,Objeto,B,Bandeja
834,Objeto,C,Caneta
835,Objeto,C,Cadeira
836,Objeto,C,Cesto
837,Objeto,C,Chave
838,Objeto,C,Copo
839,Objeto,C,Colher
840,Objeto,C,Cortina
841,Objeto,C,Corda
842,Objeto,C,Cortador
843,Objeto,C,Câmera
844,Objeto,C,Carrinho
845,Objeto,D,Diário
846,Objeto,D,Despertador
847,Objeto,D,Diadema
848,Objeto,D,Divã
849,Objeto,E,Escada
850,Objeto,E,Espelho
851,Objeto,E,Extintor
852,Objeto,E,Estojo
853,Objeto,E,Envelope
854,Objeto,F,Faca
855,Objeto,F,Ferro
856,Objeto,F,Frasco
857,Objeto,F,Furadeira
858,Objeto,F,Fio
859,Objeto,G,Garfo
860,Objeto,G,Guarda-chuva
861,Objeto,G,Grampo
862,Objeto,H,Headphone
863,Objeto,H,Harpa
864,Objeto,I,Isqueiro
865,Objeto,I,Ímã
866,Objeto,I,Impressora
867,Objeto,J,Jarro
868,Objeto,J,Joystick
869,Objeto,J,Jaula
870,Objeto,K,Kit
871,Objeto,L,Lâmpada
872,Objeto,L,Livro
873,Objeto,L,Lupa
874,Objeto,L,Lousa
875,Objeto,L,Luminária
876,Objeto,M,Mesa
877,Objeto,M,Martelo
878,Objeto,M,Mochila
879,Objeto,M,Moeda
880,Objeto,M,Máscara
881,Objeto,M,Microscópio
882,Objeto,M,Micro-ondas
883,Objeto,M,Mangueira
884,Objeto,M,Manta
885,Objeto,M,Marreta
886,Objeto,M,Medalha
887,Objeto,M,Megafone
888,Objeto,N,Navalha
889,Objeto,N,Necessaire
890,Objeto,O,Óculos
891,Objeto,O,Organizador
892,Objeto,P,Panela
893,Objeto,P,Pincel
894,Objeto,P,Prego
895,Objeto,P,Pote
896,Objeto,P,Prancheta
897,Objeto,P,Pá
898,Objeto,P,Parafuso
899,Objeto,P,Pilha
900,Objeto,P,Pente
901,Objeto,P,Porta-retrato
902,Objeto,Q,Quadro
903,Objeto,Q,Quepe
904,Objeto,R,Régua
905,Objeto,R,Relógio
906,Objeto,R,Rádio
907,Objeto,R,Rolo
908,Objeto,R,Rede
909,Objeto,S,Sofá
910,Objeto,S,Sino
911,Objeto,S,Serrote
912,Objeto,S,Suporte
913,Objeto,S,Saco
914,Objeto,S,Serra
915,Objeto,T,Tesoura
916,Objeto,T,Tapete
917,Objeto,T,Termômetro
918,Objeto,T,Tacho
919,Objeto,T,Tábua
920,Objeto,T,Torneira
921,Objeto,T,Toalheiro
922,Objeto,U,Urna
923,Objeto,U,Utensílio
924,Objeto,V,Vaso
925,Objeto,V,Vela
926,Objeto,V,Ventilador
927,Objeto,W,Walkie-talkie
928,Objeto,X,Xícara
929,Objeto,Z,Zíper
930,Nome Masculino,A,André
931,Nome Masculino,A,Antônio
